POC   20 TId: 0 ( P-SLICE, nQP 38 QP 38 )        736 bits [Y 38.3138 dB    U 43.0480 dB    V 45.1508 dB] [ET  9.59 ] [L0 19 16 12 8 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.3051 dB    U 43.0115 dB    V 45.0856 dB] [ET  9.21 ] [L0 20 16 12 8 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 39 QP 39 )        152 bits [Y 38.2848 dB    U 42.9505 dB    V 44.9877 dB] [ET  8.71 ] [L0 21 20 16 12 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 40 QP 40 )        144 bits [Y 38.2826 dB    U 42.9529 dB    V 44.9988 dB] [ET  8.70 ] [L0 22 20 16 12 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 38 QP 38 )        528 bits [Y 38.3197 dB    U 43.0349 dB    V 45.1398 dB] [ET  8.90 ] [L0 23 20 16 12 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 38.3197 dB    U 43.0349 dB    V 45.1398 dB] [ET  8.70 ] [L0 24 20 16 12 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 39 QP 39 )        104 bits [Y 38.3197 dB    U 43.0349 dB    V 45.1398 dB] [ET  8.71 ] [L0 25 24 20 16 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 40 QP 40 )      22144 bits [Y 35.0278 dB    U 38.2475 dB    V 38.5289 dB] [ET 14.44 ] [L0 26 24 20 16 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 38 QP 38 )      30096 bits [Y 40.0740 dB    U 42.5336 dB    V 43.1275 dB] [ET 13.89 ] [L0 27 24 20 16 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 40.0773 dB    U 42.5339 dB    V 43.1398 dB] [ET 11.44 ] [L0 28 24 20 16 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 39 QP 39 )        144 bits [Y 40.0767 dB    U 42.5334 dB    V 43.1398 dB] [ET 10.73 ] [L0 29 28 24 20 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 40.0763 dB    U 42.5320 dB    V 43.1398 dB] [ET 10.71 ] [L0 30 28 24 20 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 38 QP 38 )       1648 bits [Y 40.5973 dB    U 42.7209 dB    V 43.3285 dB] [ET 11.55 ] [L0 31 28 24 20 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 40 QP 40 )        184 bits [Y 40.4378 dB    U 42.6591 dB    V 43.3221 dB] [ET 10.74 ] [L0 32 28 24 20 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 39 QP 39 )        568 bits [Y 40.3801 dB    U 42.5723 dB    V 43.2990 dB] [ET  9.86 ] [L0 33 32 28 24 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 40 QP 40 )        696 bits [Y 40.0886 dB    U 42.3247 dB    V 43.2355 dB] [ET  9.91 ] [L0 34 32 28 24 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 38 QP 38 )       4328 bits [Y 40.2149 dB    U 42.3895 dB    V 43.1793 dB] [ET 10.63 ] [L0 35 32 28 24 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 40 QP 40 )       2088 bits [Y 38.4575 dB    U 41.8172 dB    V 42.9425 dB] [ET 10.12 ] [L0 36 32 28 24 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 39 QP 39 )       4480 bits [Y 38.0824 dB    U 41.5795 dB    V 42.7467 dB] [ET  9.35 ] [L0 37 36 32 28 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 40 QP 40 )       3816 bits [Y 36.9564 dB    U 40.9305 dB    V 42.3442 dB] [ET  9.32 ] [L0 38 36 32 28 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 38 QP 38 )      15480 bits [Y 38.9843 dB    U 41.3907 dB    V 42.5638 dB] [ET  9.85 ] [L0 39 36 32 28 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 40 QP 40 )       2752 bits [Y 37.4329 dB    U 40.7345 dB    V 42.1635 dB] [ET  9.23 ] [L0 40 36 32 28 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 39 QP 39 )       5344 bits [Y 36.7171 dB    U 40.2188 dB    V 41.8226 dB] [ET  9.45 ] [L0 41 40 36 32 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 40 QP 40 )       3632 bits [Y 35.5315 dB    U 39.7720 dB    V 41.4401 dB] [ET  9.38 ] [L0 42 40 36 32 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 38 QP 38 )      15320 bits [Y 37.8200 dB    U 40.6770 dB    V 42.0730 dB] [ET 10.01 ] [L0 43 40 36 32 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 40 QP 40 )        104 bits [Y 37.8200 dB    U 40.6770 dB    V 42.0730 dB] [ET  8.87 ] [L0 44 40 36 32 ] [L1 ]
