POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
76;1;7.552;6.22425;5.41315;69.6619;4.33383;;;1.11531;62.8823;-0.559909
77;1;7.552;4.84145;5.40509;71.7198;4.33383;;;2.27686;64.0207;0.580775
78;1;7.552;4.83976;5.39724;72.2786;4.33383;;;2.27828;65.1599;0.00071064
79;1;7.552;4.81609;5.38928;73.4331;4.33383;;;2.29816;66.3089;0.0099414
80;1;7.552;6.44368;5.40353;73.4655;4.33383;;;0.930989;66.7744;-0.683587
81;1;7.552;4.85978;5.39628;75.6917;4.33383;;;2.26147;67.9052;0.665239
82;1;7.552;4.9719;5.3907;76.0809;4.33383;;;2.16729;68.9888;-0.04709
83;1;7.552;5.0282;5.38599;77.1734;4.33383;;;2.11999;70.0488;-0.0236485
84;1;7.552;6.0271;5.39421;77.5777;4.33383;;;1.28092;70.6893;-0.419537
85;1;7.552;4.82218;5.38697;79.4571;4.33383;;;2.29305;71.8358;0.506067
86;1;7.552;5.0515;5.38277;79.9416;4.33383;;;2.10042;72.886;-0.0963152
87;1;7.552;5.00449;5.3781;81.1201;4.33383;;;2.13991;73.956;0.0197459
88;1;7.552;6.23858;5.3886;81.3311;4.33383;;;1.10327;74.5076;-0.51832
89;1;7.552;5.04261;5.38443;83.2143;4.33383;;;2.10789;75.5615;0.50231
90;1;7.552;5.07294;5.38072;83.7454;4.33383;;;2.08241;76.6027;-0.0127399
91;1;7.552;4.95809;5.37575;84.8774;4.33383;;;2.17888;77.6922;0.0482357
92;1;7.552;6.16852;5.38497;85.0955;4.33383;;;1.16212;78.2732;-0.508379
93;1;7.552;4.93001;5.37974;87.0271;4.33383;;;2.20247;79.3745;0.520174
94;1;7.552;5.25638;5.37834;87.3863;4.33383;;;1.92832;80.3386;-0.137076
95;1;7.552;4.99727;5.37405;88.6637;4.33383;;;2.14597;81.4116;0.108827
96;1;7.552;6.206;5.3833;88.8059;4.33383;;;1.13064;81.9769;-0.507668
97;1;7.552;4.90804;5.37808;90.7615;4.33383;;;2.22092;83.0874;0.545144
98;1;7.552;5.19749;5.37611;91.13;4.33383;;;1.97778;84.0763;-0.12157
99;1;7.552;5.0747;5.37287;92.324;4.33383;;;2.08093;85.1168;0.0515752
100;1;7.552;6.6994;5.38698;92.2081;4.33383;;;0.716183;85.4749;-0.682376
101;1;7.552;5.04713;5.38341;94.3721;4.33383;;;2.10409;86.5269;0.693953
