POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
86;1;0;0.669101;0.780127;0.61382;1.33122;;;-0.0552808;-0;-0
87;1;0;0.63755;0.778367;0.60751;1.33122;;;-0.03004;-0;0
88;1;0;0.785914;0.778459;0.637183;1.33122;;;-0.148731;-0;-0
89;1;0;0.57717;0.776033;0.595434;1.33122;;;0.018264;-0;0
90;1;0;0.691131;0.775023;0.618226;1.33122;;;-0.0729048;-0;-0
91;1;0;0.740361;0.774615;0.628072;1.33122;;;-0.112289;-0;-0
92;1;0;0.857679;0.775581;0.651536;1.33122;;;-0.206143;-0;-0
93;1;0;0.640567;0.774029;0.608113;1.33122;;;-0.0324536;-0;0
94;1;0;0.665995;0.772801;0.613199;1.33122;;;-0.052796;-0;-0
95;1;0;0.654726;0.771475;0.610945;1.33122;;;-0.0437808;-0;0
96;1;0;1.06972;0.774788;0.693945;1.33122;;;-0.375779;-0;-0
97;1;0;0.615517;0.773038;0.603103;1.33122;;;-0.0124136;-0;0
98;1;0;0.706429;0.772314;0.621286;1.33122;;;-0.0851432;-0;-0
99;1;0;0.618375;0.770659;0.603675;1.33122;;;-0.0147;-0;0
100;1;0;0.940993;0.772471;0.668199;1.33122;;;-0.272794;-0;-0
101;1;0;0.606186;0.770721;0.601237;1.33122;;;-0.0049488;-0;0
102;1;0;0.718751;0.770179;0.62375;1.33122;;;-0.0950008;-0;-0
103;1;0;0.677138;0.76922;0.615428;1.33122;;;-0.0617104;-0;0
104;1;0;0.919611;0.770755;0.663922;1.33122;;;-0.255689;-0;-0
105;1;0;0.632835;0.769362;0.606567;1.33122;;;-0.026268;-0;0
106;1;0;0.664584;0.768314;0.612917;1.33122;;;-0.0516672;-0;-0
107;1;0;0.642745;0.767071;0.608549;1.33122;;;-0.034196;-0;0
108;1;0;0.959275;0.768955;0.671855;1.33122;;;-0.28742;-0;-0
109;1;0;0.673794;0.768031;0.614759;1.33122;;;-0.0590352;-0;0
110;1;0;0.685485;0.767237;0.617097;1.33122;;;-0.068388;-0;-0
111;1;0;0.593564;0.765583;0.598713;1.33122;;;0.0051488;-0;0
112;1;0;1.04309;0.768201;0.688617;1.33122;;;-0.35447;-0;-0
113;1;0;0.586356;0.766502;0.597271;1.33122;;;0.0109152;-0;0
114;1;0;0.61003;0.765053;0.602006;1.33122;;;-0.008024;-0;-0
115;1;0;0.627115;0.763787;0.605423;1.33122;;;-0.021692;-0;-0
116;1;0;1.03333;0.766238;0.686666;1.33122;;;-0.346665;-0;-0
117;1;0;0.587065;0.764624;0.597413;1.33122;;;0.010348;-0;0
118;1;0;0.60557;0.763204;0.601114;1.33122;;;-0.004456;-0;-0
119;1;0;0.592844;0.761696;0.598569;1.33122;;;0.0057248;-0;0
120;1;0;1.01109;0.763884;0.682219;1.33122;;;-0.328875;-0;-0
121;1;0;0.562573;0.762133;0.592515;1.33122;;;0.0299416;-0;0
122;1;0;0.60966;0.760819;0.601932;1.33122;;;-0.007728;-0;-0
123;1;0;0.552871;0.759041;0.590574;1.33122;;;0.0377032;-0;0
124;1;0;0.987314;0.760976;0.677463;1.33122;;;-0.309851;-0;-0
125;1;0;0.532079;0.759052;0.586416;1.33122;;;0.0543368;-0;0
126;1;0;0.614141;0.757845;0.602828;1.33122;;;-0.0113128;-0;-0
127;1;0;0.506333;0.755766;0.581267;1.33122;;;0.0749336;-0;0
128;1;0;0.977956;0.757587;0.675591;1.33122;;;-0.302365;-0;-0
129;1;0;0.447284;0.755065;0.569457;1.33122;;;0.122173;-0;0
130;1;0;0.49617;0.752977;0.579234;1.33122;;;0.083064;-0;-0
131
