POC	Control ON/OFF	SP	PV	PVavg	PID	EST			e	Se	de		no PID		SP	no PID	with PID
54	1	3.951	3.78803	4.00694	-1.94206	0.842619			0.136891	-4.51127	-1.35572		6.69567	48	3.951	6.6466822917	4.00694
55	1	3.951	0.589372	3.9372	5.89285	4.2131			2.82377	1.13627	1.34344		6.59945	49	3.951	6.59945	3.9372
56	1	3.951	8.74493	4.03335	-5.62484	0.842619			-4.0269	-6.91753	-3.42533		9.16927	50	3.951	6.6508464	4.03335
57	1	3.951	0.545955	3.96497	5.6527	4.2131			2.86024	-1.19706	3.44357		6.38917	51	3.951	6.38917	3.96497
58	1	3.951	7.66927	4.03621	-5.88963	0.842619			-3.12335	-7.44376	-2.99179		6.72746	52	3.951	6.3956755769	4.03621
59	1	3.951	0.686435	3.973	4.40217	4.2131			2.74223	-1.95929	2.93279		6.49625	53	3.951	6.49625	3.973
60	1	3.951	8.97335	4.0656	-9.12277	0.842619			-4.21878	-10.3968	-3.48051		9.70088	54	3.951	6.555595	4.0656
61	1	3.951	0.596081	4.00252	2.17209	2.17599			2.81813	-4.76058	3.51845		6.95027	55	3.951	6.95027	4.00252
62	1	3.951	3.55894	3.9946	-1.45805	0.842619			0.32933	-4.10191	-1.2444		6.99666	56	3.951	6.9510983929	3.9946
63	1	3.951	0.583799	3.93476	6.21679	4.2131			2.82845	1.55498	1.24956		6.54718	57	3.951	6.54718	3.93476
64	1	3.951	8.87083	4.01987	-5.45272	0.842619			-4.13266	-6.71034	-3.48056		9.0324	58	3.951	6.5900286207	4.01987
65	1	3.951	0.583966	3.96163	5.83904	4.2131			2.82831	-1.05372	3.48048		6.4049	59	3.951	6.4049	3.96163
66	1	3.951	6.6433	4.00633	-3.73995	0.842619			-2.26154	-5.57679	-2.54492		6.60732	60	3.951	6.4082736667	4.00633
67	1	3.951	0.553103	3.94972	6.09689	4.2131			2.85423	0.131673	2.55788		6.53925	61	3.951	6.53925	3.94972
68	1	3.951	8.72088	4.02667	-6.59802	0.842619			-4.0067	-7.88173	-3.43047		8.78684	62	3.951	6.5755014516	4.02667
69	1	3.951	0.558389	3.97162	4.65429	4.2131			2.84979	-2.18214	3.42825		6.3632	63	3.951	6.3632	3.97162
70	1	3.951	6.54611	4.01184	-4.69056	0.842619			-2.1799	-6.54194	-2.51484		6.61752	64	3.951	6.36717375	4.01184
71	1	3.951	0.555542	3.95867	5.0862	4.2131			2.85218	-0.837566	2.51604		6.38518	65	3.951	6.38518	3.95867
72	1	3.951	8.8729	4.03313	-7.86114	0.842619			-4.1344	-9.10636	-3.49329		8.77096	66	3.951	6.4213281818	4.03313
73	1	3.951	0.570301	3.98144	3.4704	3.47233			2.83979	-3.42678	3.48709		6.6428	67	3.951	6.6428	3.98144
74	1	3.951	4.7595	3.99289	-2.46417	0.842619			-0.67914	-4.78506	-1.75946		6.34858	68	3.951	6.6384732353	3.99289
75	1	3.951	0.549557	3.94298	6.10431	4.2131			2.85721	0.929363	1.76818		6.3497	69	3.951	6.3497	3.94298
76	1	3.951	8.7914	4.01225	-5.93862	0.842619			-4.06594	-7.20251	-3.46157		9.12118	70	3.951	6.3892925714	4.01225
77	1	3.951	0.565608	3.9637	5.34912	4.2131			2.84373	-1.51505	3.45483		6.45359	71	3.951	6.45359	3.9637
78	1	3.951	6.41536	3.99775	-3.76678	0.842619			-2.07006	-5.65518	-2.4569		6.31578	72	3.951	6.4516759722	3.99775
79	1	3.951	0.566413	3.95075	5.89695	4.2131			2.84305	0.0309271	2.45656		7.09964	73	3.951	7.09964	3.95075
80	1	3.951	8.61422	4.01377	-6.48624	0.842619			-3.9171	-7.80328	-3.38008		8.56795	74	3.951	7.119482027	4.01377
81	1	3.951	0.549718	3.96758	4.70476	4.2131			2.85708	-2.08912	3.38709		6.25952	75	3.951	6.25952	3.96758
82	1	3.951	6.36489	3.99912	-4.24961	0.842619			-2.02767	-6.14446	-2.44237		6.20061	76	3.951	6.2587448684	3.99912
83	1	3.951	0.563261	3.9545	5.39259	4.2131			2.8457	-0.453057	2.43668		6.06	77	3.951	6.06	3.9545
84	1	3.951	8.49546	4.01272	-6.74117	0.842619			-3.81735	-8.08776	-3.33153		8.41013	78	3.951	6.0901298718	4.01272
