0.1/0.0/0.0.csv;0.2/0.0/0.0.csv;0.3/0.0/0.0.csv;0.4/0.0/0.0.csv;0.5/0.0/0.0.csv;0.6/0.0/0.0.csv;0.7/0.0/0.0.csv;0.8/0.0/0.0.csv;0.9/0.0/0.0.csv;1.0/0.0/0.0.csv;1.1/0.0/0.0.csv;1.2/0.0/0.0.csv;1.3/0.0/0.0.csv;1.4/0.0/0.0.csv;1.5/0.0/0.0.csv;1.6/0.0/0.0.csv;1.7/0.0/0.0.csv;1.8/0.0/0.0.csv;1.9/0.0/0.0.csv;2.0/0.0/0.0.csv
11.7243;11.7885;11.8065;11.7763;11.558;10.6332;9.54076;9.00981;8.86632;8.80091;8.8187;8.83559;8.79858;8.76911;8.7328;8.93729;8.66483;8.69009;11.8614;11.8451
8.22192;8.24102;8.19388;8.19404;8.22037;8.25843;7.87513;6.9341;6.47296;6.01462;5.95183;6.02652;6.06347;6.14071;6.13398;5.61766;5.37453;5.04762;0.757308;0.779608
8.09386;8.07906;8.11818;8.14387;7.86657;7.52464;6.91176;6.33704;6.00196;5.87784;5.89258;5.85394;5.82709;5.80279;5.93933;6.2197;6.4221;6.97981;8.21742;8.18248
7.99933;8.0609;8.11571;7.95776;7.44782;6.83995;6.2709;6.03614;5.86958;5.86809;5.83959;5.82713;5.92507;5.87276;5.87644;5.80628;5.90462;5.83608;4.9944;4.71264
11.331;11.3446;11.4709;11.0809;10.238;9.31512;8.68697;8.59149;8.51102;8.45543;8.45746;8.50929;8.46739;8.54249;8.56064;8.59156;8.46587;8.58481;10.1852;10.9222
8.16418;8.17407;8.22197;8.18642;8.15002;8.16998;7.3564;6.80746;6.4181;5.98857;6.07598;6.08762;6.19885;6.04015;6.14779;5.47441;5.56081;5.01864;2.12721;0.77782
8.48077;8.5155;8.56126;8.42864;8.15407;7.70006;7.0417;6.49606;6.2401;6.21475;6.19569;6.08615;6.07159;6.0375;6.06032;6.55073;6.56013;7.49595;8.6336;8.60781
8.07521;8.1162;8.21308;8.08238;7.80361;7.07144;6.49316;6.15325;5.95099;5.8882;5.92029;5.89781;5.82072;5.84079;5.80967;6.04776;5.94304;5.99812;4.72289;4.33112
11.3882;11.3994;11.3993;11.3092;10.6045;9.5517;8.91041;8.70256;8.49154;8.56536;8.49348;8.50669;8.5455;8.6031;8.60975;8.38443;8.5104;8.35684;10.8054;11.3114
8.30561;8.31406;8.32747;8.31035;8.26894;8.32255;7.51664;6.94123;6.50149;6.06072;6.1495;6.18487;6.20114;6.2961;6.2518;5.99732;5.47565;5.33501;0.832011;0.764883
8.59132;8.56853;8.59256;8.57479;8.3283;7.91943;7.12859;6.6128;6.33141;6.26208;6.22711;6.12579;6.08386;6.22398;6.26057;6.1099;6.78418;7.09608;8.61453;8.56405
8.28049;8.35512;8.31112;8.31047;8.07315;7.38135;6.67326;6.27474;6.10039;5.99328;6.00136;5.92192;5.89055;5.89626;5.9858;5.84475;6.05242;6.1586;4.70673;4.43674
11.6022;11.6797;11.7373;11.6447;11.1481;10.1173;9.27596;8.90377;8.76681;8.73992;8.70073;8.63769;8.74041;8.73094;8.64512;8.79386;8.6175;8.64418;11.1166;11.7713
8.35034;8.31839;8.33912;8.29413;8.32851;8.35872;7.78658;7.07151;6.53092;6.0743;5.98899;6.05417;6.09809;6.20683;6.22096;5.70519;5.57431;5.08158;0.811468;0.811922
8.44936;8.54065;8.49958;8.58424;8.37424;7.88373;7.26768;6.63826;6.30786;6.14589;6.18588;6.1884;6.13839;6.13895;6.1074;6.43637;6.53859;7.35981;8.62655;8.6403
8.30094;8.30284;8.19429;8.34883;8.18338;7.34315;6.82328;6.26579;6.10043;6.0286;6.00895;5.85608;5.87632;5.90278;5.90999;5.91802;6.04299;6.07263;4.75939;4.29131
11.582;11.5517;11.5638;11.5492;11.1963;10.0075;9.24228;8.91668;8.68435;8.65685;8.60958;8.61559;8.63467;8.63372;8.68127;8.59695;8.56624;8.46077;10.9336;11.5493
8.40286;8.45465;8.42113;8.43025;8.46291;8.45939;7.7859;7.15116;6.62455;6.16529;6.06904;6.10952;6.19646;6.23471;6.29289;6.06921;5.67529;5.44621;0.804123;0.80583
8.68158;8.79384;8.84483;8.71229;8.65641;8.13922;7.30619;6.80261;6.47194;6.33375;6.25834;6.22791;6.21461;6.17274;6.27112;6.23555;6.52105;7.0108;8.81407;8.89834
8.5533;8.58759;8.55062;8.53545;8.67895;7.79541;6.97805;6.55288;6.33482;6.173;6.10261;6.11459;6.13514;6.24326;6.12185;6.04168;6.18247;6.27061;4.68542;4.00677
11.7003;11.7572;11.8377;11.834;11.7588;10.4999;9.54942;9.15192;8.87484;8.76052;8.76644;8.70383;8.66783;8.72383;8.64533;8.5788;8.60312;8.65478;11.2374;11.8539
