POC   19 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5408 bits [Y 39.9413 dB    U 44.3046 dB    V 45.5606 dB] [ET  8.63 ] [L0 18 16 12 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 28 QP 28 )      30288 bits [Y 40.5977 dB    U 44.4235 dB    V 45.7821 dB] [ET 10.60 ] [L0 19 16 12 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4120 bits [Y 40.1565 dB    U 44.3830 dB    V 45.6773 dB] [ET  8.57 ] [L0 20 16 12 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 29 QP 29 )       7960 bits [Y 40.1809 dB    U 44.3196 dB    V 45.6081 dB] [ET  8.74 ] [L0 21 20 16 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5384 bits [Y 39.9722 dB    U 44.2693 dB    V 45.5791 dB] [ET  8.61 ] [L0 22 20 16 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 28 QP 28 )      37312 bits [Y 40.6210 dB    U 44.4995 dB    V 45.7475 dB] [ET 11.15 ] [L0 23 20 16 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4304 bits [Y 40.2031 dB    U 44.3241 dB    V 45.6690 dB] [ET  8.57 ] [L0 24 20 16 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 29 QP 29 )       7840 bits [Y 40.1253 dB    U 44.3220 dB    V 45.5477 dB] [ET  8.74 ] [L0 25 24 20 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5456 bits [Y 40.0100 dB    U 44.2731 dB    V 45.5616 dB] [ET  8.55 ] [L0 26 24 20 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 28 QP 28 )      36040 bits [Y 40.6099 dB    U 44.4878 dB    V 45.7464 dB] [ET 11.02 ] [L0 27 24 20 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4672 bits [Y 40.1486 dB    U 44.3683 dB    V 45.6972 dB] [ET  8.61 ] [L0 28 24 20 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 29 QP 29 )       9480 bits [Y 39.9563 dB    U 44.2863 dB    V 45.5794 dB] [ET  8.94 ] [L0 29 28 24 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5456 bits [Y 39.8598 dB    U 44.2845 dB    V 45.5506 dB] [ET  8.61 ] [L0 30 28 24 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 28 QP 28 )      31984 bits [Y 40.6114 dB    U 44.4217 dB    V 45.7291 dB] [ET 10.77 ] [L0 31 28 24 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3536 bits [Y 40.1309 dB    U 44.3274 dB    V 45.6546 dB] [ET  8.48 ] [L0 32 28 24 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 29 QP 29 )       8032 bits [Y 39.9135 dB    U 44.2854 dB    V 45.5758 dB] [ET  8.80 ] [L0 33 32 28 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4224 bits [Y 39.7737 dB    U 44.2506 dB    V 45.5657 dB] [ET  8.52 ] [L0 34 32 28 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 28 QP 28 )      31672 bits [Y 40.5926 dB    U 44.3773 dB    V 45.6992 dB] [ET 10.71 ] [L0 35 32 28 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 30 QP 30 )       2352 bits [Y 40.1566 dB    U 44.2806 dB    V 45.6502 dB] [ET  8.34 ] [L0 36 32 28 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 29 QP 29 )       5840 bits [Y 39.8332 dB    U 44.2069 dB    V 45.5869 dB] [ET  8.72 ] [L0 37 36 32 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3360 bits [Y 39.7595 dB    U 44.1978 dB    V 45.5116 dB] [ET  8.40 ] [L0 38 36 32 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 28 QP 28 )      28960 bits [Y 40.5550 dB    U 44.3489 dB    V 45.6523 dB] [ET 10.67 ] [L0 39 36 32 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 30 QP 30 )       2280 bits [Y 40.1074 dB    U 44.2609 dB    V 45.5938 dB] [ET  8.35 ] [L0 40 36 32 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 29 QP 29 )       6320 bits [Y 39.8661 dB    U 44.2340 dB    V 45.5560 dB] [ET  8.73 ] [L0 41 40 36 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3560 bits [Y 39.7816 dB    U 44.2174 dB    V 45.5465 dB] [ET  8.45 ] [L0 42 40 36 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 28 QP 28 )      29912 bits [Y 40.5488 dB    U 44.3447 dB    V 45.6495 dB] [ET 10.72 ] [L0 43 40 36 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3304 bits [Y 40.0000 dB    U 44.2570 dB    V 45.6045 dB] [ET  8.37 ] [L0 44 40 36 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 29 QP 29 )       8464 bits [Y 39.8336 dB    U 44.2145 dB    V 45.5036 dB] [ET  8.91 ] [L0 45 44 40 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3880 bits [Y 39.7375 dB    U 44.2163 dB    V 45.5352 dB] [ET  8.49 ] [L0 46 44 40 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 28 QP 28 )      31040 bits [Y 40.5126 dB    U 44.3530 dB    V 45.6105 dB] [ET 10.61 ] [L0 47 44 40 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4632 bits [Y 40.0324 dB    U 44.2075 dB    V 45.5439 dB] [ET  8.53 ] [L0 48 44 40 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11656 bits [Y 39.8281 dB    U 44.1253 dB    V 45.4379 dB] [ET  9.06 ] [L0 49 48 44 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6576 bits [Y 39.7738 dB    U 44.0743 dB    V 45.3789 dB] [ET  8.78 ] [L0 50 48 44 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 28 QP 28 )      33000 bits [Y 40.5309 dB    U 44.3611 dB    V 45.6409 dB] [ET 10.61 ] [L0 51 48 44 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5632 bits [Y 40.0953 dB    U 44.1597 dB    V 45.4815 dB] [ET  8.70 ] [L0 52 48 44 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 29 QP 29 )       9272 bits [Y 39.8683 dB    U 44.0987 dB    V 45.3958 dB] [ET  9.07 ] [L0 53 52 48 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6216 bits [Y 39.8005 dB    U 44.0867 dB    V 45.3630 dB] [ET  8.88 ] [L0 54 52 48 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 28 QP 28 )      33544 bits [Y 40.5720 dB    U 44.3273 dB    V 45.6938 dB] [ET 10.90 ] [L0 55 52 48 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6592 bits [Y 40.0805 dB    U 44.0947 dB    V 45.5073 dB] [ET  8.89 ] [L0 56 52 48 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 29 QP 29 )      11488 bits [Y 39.9506 dB    U 44.0368 dB    V 45.4042 dB] [ET  9.13 ] [L0 57 56 52 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 30 QP 30 )       8720 bits [Y 39.8233 dB    U 44.0558 dB    V 45.3617 dB] [ET  8.92 ] [L0 58 56 52 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 28 QP 28 )      36496 bits [Y 40.5792 dB    U 44.3423 dB    V 45.6935 dB] [ET 11.00 ] [L0 59 56 52 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 30 QP 30 )       6672 bits [Y 40.1321 dB    U 44.2038 dB    V 45.5582 dB] [ET  8.91 ] [L0 60 56 52 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 29 QP 29 )       9624 bits [Y 40.0323 dB    U 44.1002 dB    V 45.4153 dB] [ET  9.12 ] [L0 61 60 56 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5744 bits [Y 39.8964 dB    U 44.1660 dB    V 45.3816 dB] [ET  8.78 ] [L0 62 60 56 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 28 QP 28 )      35648 bits [Y 40.5901 dB    U 44.4090 dB    V 45.7447 dB] [ET 11.19 ] [L0 63 60 56 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4744 bits [Y 40.1923 dB    U 44.3166 dB    V 45.6027 dB] [ET  8.84 ] [L0 64 60 56 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 29 QP 29 )       8888 bits [Y 40.0929 dB    U 44.1621 dB    V 45.4862 dB] [ET  9.05 ] [L0 65 64 60 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 30 QP 30 )       7128 bits [Y 40.0211 dB    U 44.1378 dB    V 45.4260 dB] [ET  8.90 ] [L0 66 64 60 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 28 QP 28 )      36288 bits [Y 40.5994 dB    U 44.4679 dB    V 45.7146 dB] [ET 11.17 ] [L0 67 64 60 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 30 QP 30 )       4704 bits [Y 40.1682 dB    U 44.3218 dB    V 45.6092 dB] [ET  8.74 ] [L0 68 64 60 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 29 QP 29 )       9984 bits [Y 40.0264 dB    U 44.2055 dB    V 45.4695 dB] [ET  9.11 ] [L0 69 68 64 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 30 QP 30 )       5480 bits [Y 39.9893 dB    U 44.1919 dB    V 45.4154 dB] [ET  8.70 ] [L0 70 68 64 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 28 QP 28 )      31856 bits [Y 40.5814 dB    U 44.4262 dB    V 45.6622 dB] [ET 10.91 ] [L0 71 68 64 ] [L1 ]
POC   73 TId: 0 ( P-SLICE, nQP 30 QP 30 )       3304 bits [Y 40.2343 dB    U 44.2761 dB    V 45.6092 dB] [ET  8.58 ] [L0 72 68 64 ] [L1 ]
